"COUNTRY";"STATE";"CITY";"LONGITUDE";"LATITUDE";"PLATENUM";"ZIP"
"DE";"Rheinland-Pfalz";"Altlay";"7.26667";"49.9833";"COC";56858
"DE";"Rheinland-Pfalz";"Altleiningen";"8.07333";"49.5075";"DÜW";67317
"DE";"Baden-Württemberg";"Altlußheim";"8.49917";"49.3017";"HD";68804
"DE";"Brandenburg";"Fichtenhöhe";"14.4209";"52.4641";"MOL";15306
"DE";"Bayern";"Altmannstein";01.11.65;"48.9";"EI";93336
"DE";"Sachsen-Anhalt";"Altmersleben";01.11.33;"52.6833";"SAW";39624
"DE";"Mecklenburg-Vorpommern";"Alt Meteln";01.11.35;"53.75";"NWM";19069
"DE";"Sachsen";"Altmittweida";01.12.95;"50.9667";"MW";9648
"DE";"Schleswig-Holstein";"Alt Mölln";01.10.65;"53.6167";"RZ";23881
"DE";"Bayern";"Altötting";01.12.33;"48.2333";"AÖ";84503
"DE";"Bayern";"Altomünster";01.11.25;"48.3833";"DAH";85250
"DE";"Brandenburg";"Oderaue";"14.1667";"52.7667";"MOL";16259
"DE";"Mecklenburg-Vorpommern";"Alt Rehse";"13.1667";"53.5";"MÜR";17217
"DE";"Rheinland-Pfalz";"Altrich";"6.91667";"49.95";"WIL";54518
"DE";"Rheinland-Pfalz";"Altrip";"8.49472";"49.4356";"LU";67122
"DE";"Brandenburg";"Alt-Schadow";"13.95";"52.1333";"LDS";15910
"DE";"Rheinland-Pfalz";"Altscheid";06.04.07;"50.0167";"BIT";54636
"DE";"Mecklenburg-Vorpommern";"Alt Schönau";01.12.33;"53.5833";"MÜR";17192
"DE";"Mecklenburg-Vorpommern";"Alt Schwerin";01.12.67;"53.5167";"MÜR";17214
"DE";"Baden-Württemberg";"Altshausen";"9.53333";"47.9333";"RV";88361
"DE";"Rheinland-Pfalz";"Altstrimmig";07.03.07;"50.1";"COC";56858
"DE";"Mecklenburg-Vorpommern";"Alt Sührkow";01.12.65;"53.8";"GÜ";17166
"DE";"Mecklenburg-Vorpommern";"Alt Tellin";"13.25";"53.85";"DM";17129
"DE";"Brandenburg";"Altthymen";"13.1667";"53.2333";"OHV";16798
"DE";"Brandenburg";"Alt Tucheband";"14.5301";"52.5214";"MOL";15328
"DE";"Bayern";"Altusried";01.10.67;"47.8";"OA";87452
